postId	champ	balise	hote	url
1003	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/salvayre_le_bravo_dedicace.jpg
1007	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/picro.mp3
1009	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/contremet2.mp3
1009	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/circolo.mp3
1009	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/circolo_perduto.mp3
1009	chapoHtml	lien	musicontempo.free.fr	http://musicontempo.free.fr/non.mp3
101	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer-multi.swf?son=http://operacritiques.free.fr/css/sons/wagram_imaginaire.mp3
1011	corpsHtml	audio	musicontempo.free.fr	http://musicontempo.free.fr/funebre_inbal.mp3
1011	corpsHtml	audio	musicontempo.free.fr	http://musicontempo.free.fr/funebre_kubelik.mp3
1011	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/siegfried_marche_funebre.jpg
1011	chapoHtml	audio	musicontempo.free.fr	http://musicontempo.free.fr/funebre_furtie.mp3
1011	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/funebre_inbal.mp3
1011	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/funebre_kubelik.mp3
1012	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/yves_nat.jpg
1017	corpsHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/eschyle_prodromides_perses_prat.jpg
1017	corpsHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/eschyle_prodromides_perses_prat_3.jpg
1017	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/eschyle_prodromides_perses_prat_5.jpg
1017	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/eschyle_prodromides_perses_prat_6.jpg
1017	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/eschyle_prodromides_perses_prat_4.jpg
1017	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/eschyle_prodromides_perses_prat_2.jpg
1022	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/alma_waldseligkeit.mp3
1024	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/alma_waldseligkeit_2.mp3
1024	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/alma_schindler_mahler_2.jpg
1030	corpsHtml	img	illiweb.com	http://illiweb.com/fa/i/smiles/icon_viking.png
1030	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/daniel_barenboim_west_eastern_divan_orchestra_2008.jpg
1031	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://www.norbert-sheila.co.uk/audio/thais.mp3
1032	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/no_artist_renee_fleming.mp3
1041	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/reyer_salammbo_dlm.mp3
1043	corpsHtml	img	jiwa.fr	http://jiwa.fr/static/img/album/210/126610.jpg
1043	corpsHtml	embed	jiwa.fr	http://jiwa.fr/res/widget/monotitle.swf?trackId=978470&skin=round&volumePreview=FF9900&volume=FF9900&tint=E5DCB1;0;0;0
1043	corpsHtml	img	counters.gigya.com	http://counters.gigya.com/wildfire/IMP/CXNID=2000002.0NXC/bT*xJmx*PTEyMjM1MTkzODYwNjUmcHQ9MTIyMzUxOTM5MjYxMiZwPTMwODM*MSZkPSZuPSZnPTEmdD*mbz1hMTcwMzYzNzY3Mzc*OTEyOWE2Zjc4NzY1YjgxMzE*OA==.gif
1047	chapoHtml	embed	www.deezer.com	http://www.deezer.com/embedded/widget.swf?path=12228329&lang=fr&colorBack=0x525252&colorVolume=0x00CCFF&colorScrollbar=0x666666&colorText=0xFFFFFF&autoplay=0&autoShuffle=0&id=3707252
1048	corpsHtml	img	upload.wikimedia.org	http://upload.wikimedia.org/wikipedia/commons/3/38/Claude_Lorrain_002.jpg
1048	chapoHtml	img	www.artisteclair.com	http://www.artisteclair.com/files/peint-11.jpg
1049	corpsHtml	embed	www.deezer.com	http://www.deezer.com/embedded/small-widget-v2.swf?idSong=798952&colorBackground=0x525252&textColor1=0xFFFFFF&colorVolume=0x39D1FD&autoplay=0
1050	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/mignon_harfner.mp3
1050	chapoHtml	lien	musicontempo.free.fr	http://musicontempo.free.fr/mignon_harfner.pdf
1056	chapoHtml	embed	www.deezer.com	http://www.deezer.com/embedded/widget.swf?path=12942308&lang=fr&colorBack=0x525252&colorVolume=0x00CCFF&colorScrollbar=0x666666&colorText=0xFFFFFF&autoplay=0&autoShuffle=0&id=3707252
1057	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/palais_garnier_opera_de_paris.jpg
1058	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/reyer_salammbo_marseille.mp3
1058	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/reyer_salammbo_dlm.mp3
1059	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/erwin_schulhoff_flammen_opera_de_waart_interlude_1_2.mp3
1059	corpsHtml	lien	imagesforum.doctissimo.fr	http://imagesforum.doctissimo.fr/mesimages/1223143/bebe-pieuvre.jpg
1059	chapoHtml	img	www.rgrossmusicautograph.com	http://www.rgrossmusicautograph.com/72/schulhoff72.jpg
1060	corpsHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/bach_levy.jpg
1061	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/robert.jpg
1062	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/john_antill_corroboree.mp3
1063	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/lully_cadmus_hermione_rousset.mp3
1063	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/lully_cadmus_hermione_dumestre.mp3
1064	corpsHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/ives_symphonies_bernstein.jpg
1065	corpsHtml	img	ec1.images-amazon.com	http://ec1.images-amazon.com/images/P/B000025Q05.03._AA240_SCLZZZZZZZ_.jpg
1065	corpsHtml	img	jiwa.fr	http://jiwa.fr/static/img/album/210/126610.jpg
1065	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/41HM4YDQ86L._SL500_AA240_.jpg
1067	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/dielorelei_e.mp3
1067	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/tristan_1.mp3
1067	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/begegnet.mp3
1067	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/tristan_2.mp3
1069	corpsHtml	img	www.webthea.com	http://www.webthea.com/actualites/IMG/cache-233x350/3-34-233x350.jpg
1075	chapoHtml	img	piloris.free.fr	http://piloris.free.fr/lhote/photo0068.jpg
1076	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/dongio.mp3
1076	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/zampa_juan.mp3
1078	corpsHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/41eSOPnlqkL._SL500_AA240_.jpg
1078	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/419xs94kTDL._SL500_AA240_.jpg
1078	chapoHtml	embed	www.deezer.com	http://www.deezer.com/embedded/widget.swf?path=14491449&lang=FR&colorBack=0x990066&colorVolume=0x003D31&colorScrollbar=0x005C5C&colorText=0xFFFFFF&autoplay=0&autoShuffle=0&id=3707252
1081	corpsHtml	lien	musicontempo.free.fr	http://musicontempo.free.fr/lully_bacchus.mp3
1083	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/bach_amadis_de_gaule_colloque.mp3
1083	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/bach_amadis_de_gaule_duel.mp3
1083	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/bach_amadis_de_gaule_aveu.mp3
1085	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/leeuw_tremolo.mp3
1085	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/genvrin_non_tremolo.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/ss_pianistes.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/mozart_spass.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/ades_caccia.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/damase_colombe.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/krasa_bellini.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/bridge_marche_militaire.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/glass.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/lully_cadmus.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/damase_eugene.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/holliger_prince.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/ekstroem.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/auber_nuit.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/aboulker_petibon.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/j.strauss_polka_paysans.mp3
1092	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/saint_gilles.mp3
