postId	identifiant	genre	titre	url	motif
1027	w_yG_X9XGe0	citant une vidéo	Observatoire des pénibles	/css/2008/08/31/1027-observatoire-des-penibles/	hqdefault : erreur 404
1031	eKIAI6FDFxg	citant une vidéo	Danse au supplice	/css/2008/09/04/1031-danse-au-supplice-claire-rutter-stephen-gadd/	hqdefault : erreur 404
1187	3Qb8P-l8t3s	citant une vidéo	Carnet d'écoutes - (encore) un autre possible du Winterreise	/css/2009/04/01/1187-franz-schubert-die-winterreise-der-dvd-jorma-hynninen-arthaus-ondine/	hqdefault : erreur 404
1294	dhOCx6t6EkI	citant une vidéo	Journalisme spécialisé	/css/2009/06/29/1294-ophelie-gaillard-marie-drucker-journalisme-specialise/	hqdefault : erreur 404
1340	_C09k_1fk_o	citant une vidéo	The Constant Nymph de Goulding & Korngold - une image ambiguë de la création	/css/2009/08/25/1340-the-constant-nymph-tessa-nymphe-au-coeur-fidele-edmund-goulding-erich-wolfgang-korngold-musique-bo-film-une-image-ambigue-de-la-creation-joan-fontaine-charles-boyer/	hqdefault : erreur 404
1390	lWAyCLvg6eA	citant une vidéo	Gna-Gna contre le lapin maléfique	/css/2009/10/27/1390-gna-gna-contre-le-lapin-malefique/	hqdefault : erreur 404
1414	QnI-ymx6hcc	citant une vidéo	De la musique savante avec n'importe quoi	/css/2009/11/22/1414-grande-valse-francisco-tarrega-gran-vals-sonnerie-nokia-ringtune-fugue-improvisations-de-la-musique-savante-avec-n-importe-quoi/	hqdefault : erreur 404
1570	ZSDrE5E-TKg	citant une vidéo	Air du temps	/css/2010/07/16/1570-air-du-temps/	hqdefault : erreur 404
1593	uv0ap9ubZTc	citant une vidéo	Rap encyclopédique	/css/2010/09/11/1593-rap-encyclopedique/	hqdefault : erreur 404
1629	xJZXHAXtAR0	citant une vidéo	Annonce : Xavier Busatto en ciné-concert	/css/2010/11/28/1629-annonce-xavier-busatto-en-cine-concert/	hqdefault : erreur 404
1641	3IMkTOasJt8	citant une vidéo	La voix idéale (1)	/css/2010/12/24/1641-la-voix-ideale-florent-leroux-roche-le-roux-marc-callahan-richard-miller-la-structure-du-chant-the-structure-of-singing/	hqdefault : erreur 404
1667	0BVqxa5U8A8	citant une vidéo	[Première mondiale] Emile Paladilhe - Patrie ! - "Pauvre martyr obscur" en contexte : la fin de l'acte patriotique	/css/2011/02/13/1667-premiere-mondiale-creations-emile-paladilhe-patrie-pauvre-martyr-obscur-en-contexte-la-fin-de-l-acte-patriotique-youtube-first-world-recording/	hqdefault : erreur 404
1707	7vQ_uQsITko	citant une vidéo	Opéra tribunicien	/css/2011/04/19/1707-opera-tribunicien-silvio-berlusconi-riccardo-muti-roma-opera-de-rome-2011-va-pensiero-nabucco-giuseppe-verdi/	hqdefault : erreur 404
1710	hyLjQdLMYpg	citant une vidéo	I can haz Shukzpeer	/css/2011/04/22/1710-i-can-haz-shukzpeer/	hqdefault : erreur 404
1757	r8sBmXlDRJU	citant une vidéo	Classe de Jeff Cohen au CNSM : initiation au récital de lied - (Raquel Camarinha, Cécile Achille, Mao Morita)	/css/2011/06/20/1757-classe-de-jeff-cohen-au-cnsmp-initiation-au-recital-de-lied-et-melodie-cecile-achille-raquel-camarinha-croner-de-vasconcellos-luis-de-camoes-mao-morita/	hqdefault : erreur 404
1760	ueoyc87dCHk	citant une vidéo	Massenet-Marseille-Alagna : Fallait-il remonter Le Cid ?	/css/2011/06/26/1760-jules-massenet-le-cid-marseille-roberto-alagna-beatrice-uria-monzon-jacques-lacombe-eve-queler-placido-domingo-grace-bumbry-cds/	hqdefault : erreur 404
1773	N4Suyd-Wx2Q	citant une vidéo	L'Opéra et le Musée	/css/2011/07/08/1773-l-opera-et-le-musee-don-carlos-mara-zampieri-giacomo-aragall-jaume-in-concert/	hqdefault : erreur 404
